"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","belgium","antwerp","2020-06-22",50904,"Historisch Centrum",51.21858,4.3985,"Boutique hotel","Hotel room",2,1,1,"$145.00",1,60,29,155,155
"2","belgium","antwerp","2020-06-22",116134,"Eilandje",51.23051,4.40593,"Apartment","Entire home/apt",4,2,2,"$150.00",2,30,16,150,2100
"3","belgium","antwerp","2020-06-22",224333,"Deurne Zuid West",51.19772,4.45853,"House","Private room",2,1,1,"$16.00",14,365,18,16,192
"4","belgium","antwerp","2020-06-22",224682,"Sint-Andries",51.21722,4.3979,"Apartment","Entire home/apt",3,1,2,"$105.00",2,30,0,115,3450
"5","belgium","antwerp","2020-06-22",328911,"Stadspark",51.21078,4.4105,"Apartment","Entire home/apt",2,1,1,"$55.00",15,365,0,44,1320
"6","belgium","antwerp","2020-06-22",345959,"Markgrave",51.19935,4.40154,"Apartment","Entire home/apt",3,2,2,"$45.00",3,90,0,55,1650
"7","belgium","antwerp","2020-06-22",366252,"Borgerhout Intra Muros Noord",51.21601,4.43432,"Apartment","Private room",2,1,1,"$31.00",1,365,30,NA,0
"8","belgium","antwerp","2020-06-22",445201,"Borgerhout Intra Muros Noord",51.21579,4.43265,"Apartment","Private room",1,2,0,"$30.00",5,365,25,22,110
"9","belgium","antwerp","2020-06-22",465282,"Harmonie",51.2014,4.40649,"Apartment","Entire home/apt",1,1,1,"$48.00",2,1125,0,40,1200
"10","belgium","antwerp","2020-06-22",522693,"Historisch Centrum",51.22001,4.39813,"Apartment","Entire home/apt",4,1,2,"$195.00",2,21,30,NA,0
"11","belgium","antwerp","2020-06-22",553618,"Eilandje",51.23183,4.40478,"Loft","Entire home/apt",2,1,1,"$150.00",2,1125,4,150,3900
"12","belgium","antwerp","2020-06-22",569956,"Historisch Centrum",51.22397,4.40464,"Apartment","Entire home/apt",2,1,1,"$60.00",2,31,0,30,900
"13","belgium","antwerp","2020-06-22",573641,"Hoogte",51.18187,4.39381,"Apartment","Entire home/apt",2,1,1,"$98.00",3,90,29,98,98
"14","belgium","antwerp","2020-06-22",575935,"Hoogte",51.18152,4.39463,"Apartment","Private room",4,2,2,"$60.00",2,200,29,60,60
"15","belgium","antwerp","2020-06-22",603545,"Harmonie",51.20753,4.40589,"Loft","Entire home/apt",2,1,1,"$150.00",2,365,14,150,2400
"16","belgium","antwerp","2020-06-22",636664,"Borgerhout Intra Muros Zuid",51.21618,4.43037,"Apartment","Entire home/apt",5,2,3,"$85.00",2,365,17,85,1105
"17","belgium","antwerp","2020-06-22",639013,"Borgerhout Intra Muros Noord",51.21748,4.4456,"Townhouse","Private room",2,1,1,"$85.00",2,4,0,85,2550
"18","belgium","antwerp","2020-06-22",685049,"Oud - Berchem",51.19589,4.41443,"House","Private room",3,1,1,"$65.00",2,21,29,65,65
"19","belgium","antwerp","2020-06-22",685053,"Oud - Berchem",51.19482,4.41339,"House","Private room",3,1,2,"$120.00",2,1125,0,120,3600
"20","belgium","antwerp","2020-06-22",723033,"Stadspark",51.20955,4.41481,"Apartment","Entire home/apt",6,1,6,"$60.00",2,30,0,63.5,1905
"21","belgium","antwerp","2020-06-22",772842,"Linkeroever",51.21775,4.38434,"Loft","Entire home/apt",2,1,1,"$75.00",7,1125,17,55,715
"22","belgium","antwerp","2020-06-22",778043,"Stadspark",51.20399,4.41249,"Apartment","Entire home/apt",2,1,1,"$65.00",2,21,6,65,1560
"23","belgium","antwerp","2020-06-22",789555,"Centraal Station",51.2117,4.42665,"Apartment","Entire home/apt",4,1,1,"$93.00",2,1125,0,93,2790
"24","belgium","antwerp","2020-06-22",813969,"Zuid",51.21264,4.39098,"Apartment","Entire home/apt",6,2,3,"$177.00",1,1125,5,190.44,4761
"25","belgium","antwerp","2020-06-22",842077,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,1,4,"$40.00",1,365,28,40,80
"26","belgium","antwerp","2020-06-22",866701,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,1,4,"$40.00",1,365,29,40,40
"27","belgium","antwerp","2020-06-22",890384,"Centraal Station",51.21198,4.4269,"House","Entire home/apt",4,2,4,"$150.00",7,1125,0,150,4500
"28","belgium","antwerp","2020-06-22",891355,"Universiteitsbuurt",51.22043,4.40562,"Townhouse","Private room",2,1,1,"$85.00",2,14,0,85,2550
"29","belgium","antwerp","2020-06-22",891884,"Historisch Centrum",51.21874,4.39835,"Boutique hotel","Hotel room",2,1,1,"$150.00",1,1125,28,160,320
"30","belgium","antwerp","2020-06-22",891907,"Historisch Centrum",51.21825,4.39901,"Apartment","Entire home/apt",4,2,2,"$180.00",2,366,30,NA,0
"31","belgium","antwerp","2020-06-22",959200,"Borgerhout Intra Muros Noord",51.21596,4.43764,"Apartment","Entire home/apt",2,1,1,"$48.00",2,30,23,48,336
"32","belgium","antwerp","2020-06-22",961296,"Borgerhout Intra Muros Noord",51.21531,4.44498,"House","Entire home/apt",10,5,5,"$340.00",2,30,23,340,2380
"33","belgium","antwerp","2020-06-22",991824,"Deurne Zuid West",51.20316,4.46015,"Apartment","Entire home/apt",5,3,5,"$77.00",1,1125,30,NA,0
"34","belgium","antwerp","2020-06-22",1038791,"Universiteitsbuurt",51.22252,4.40751,"Apartment","Entire home/apt",2,1,2,"$62.00",2,1125,0,62,1860
"35","belgium","antwerp","2020-06-22",1050693,"Deurne Zuid West",51.20316,4.46015,"Apartment","Entire home/apt",5,3,5,"$77.00",1,1125,30,NA,0
"36","belgium","antwerp","2020-06-22",1105318,"Zuid",51.21024,4.39995,"Apartment","Entire home/apt",2,1,2,"$75.00",2,1125,30,NA,0
"37","belgium","antwerp","2020-06-22",1108491,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",2,1,4,"$40.00",1,365,29,40,40
"38","belgium","antwerp","2020-06-22",1138959,"Zurenborg",51.20755,4.43175,"House","Private room",2,1,1,"$35.00",5,1125,0,35,1050
"39","belgium","antwerp","2020-06-22",1172376,"Zuid",51.21026,4.40138,"Apartment","Entire home/apt",2,1,2,"$80.00",1,1125,30,NA,0
"40","belgium","antwerp","2020-06-22",1172826,"Deurne Zuid West",51.19813,4.45807,"House","Private room",2,1,1,"$16.00",7,365,3,16,432
"41","belgium","antwerp","2020-06-22",1184623,"Eilandje",51.23133,4.41015,"Loft","Entire home/apt",6,2,2,"$175.00",2,1125,28,170,340
"42","belgium","antwerp","2020-06-22",1209063,"Borgerhout Intra Muros Zuid",51.21053,4.43308,"Apartment","Entire home/apt",2,1,1,"$77.00",1,1125,21,77,693
"43","belgium","antwerp","2020-06-22",1227242,"Eilandje",51.22775,4.40388,"Boat","Private room",16,10,20,"$60.00",1,1125,22,60,480
"44","belgium","antwerp","2020-06-22",1266888,"Amandus - Atheneum",51.2229,4.4184,"Apartment","Entire home/apt",4,2,2,"$90.00",2,1125,0,90,2700
"45","belgium","antwerp","2020-06-22",1267516,"Zurenborg",51.207,4.42702,"Apartment","Entire home/apt",2,1,1,"$179.00",1,1125,29,179,179
"46","belgium","antwerp","2020-06-22",1292916,"Stadspark",51.21432,4.41321,"Apartment","Private room",2,1,1,"$45.00",2,1125,0,40,1200
"47","belgium","antwerp","2020-06-22",1306743,"Historisch Centrum",51.22396,4.40464,"Apartment","Entire home/apt",2,1,1,"$70.00",3,1125,0,40,1200
"48","belgium","antwerp","2020-06-22",1328770,"Eilandje",51.22875,4.40254,"Boat","Private room",16,1,16,"$60.00",1,1125,22,60,480
"49","belgium","antwerp","2020-06-22",1338036,"Borgerhout Extra Muros",51.19796,4.45632,"Townhouse","Private room",3,2,3,"$60.00",3,1125,0,60,1800
"50","belgium","antwerp","2020-06-22",1405414,"Stadspark",51.21388,4.41573,"Apartment","Entire home/apt",4,2,3,"$90.00",3,1125,0,90,2700
"51","belgium","antwerp","2020-06-22",1427505,"Stadspark",51.21205,4.41315,"Apartment","Entire home/apt",2,1,1,"$80.00",10,600,0,85,2550
"52","belgium","antwerp","2020-06-22",1444602,"Zurenborg",51.20794,4.42839,"Apartment","Entire home/apt",3,2,2,"$50.00",4,13,0,50,1500
"53","belgium","antwerp","2020-06-22",1504952,"Centraal Station",51.21692,4.42749,"Bed and breakfast","Private room",12,4,8,"$100.00",1,1125,25,100,500
"54","belgium","antwerp","2020-06-22",1534890,"Deurne Noord",51.23229,4.45124,"Other","Private room",8,2,4,"$35.00",1,1125,0,35,1050
"55","belgium","antwerp","2020-06-22",1577011,"Stuivenberg",51.22105,4.42809,"Apartment","Entire home/apt",4,2,2,"$65.00",4,1125,17,65,845
"56","belgium","antwerp","2020-06-22",1585405,"Deurne Dorp - Gallifort",51.22337,4.46923,"House","Private room",2,1,1,"$35.00",2,1125,28,45,90
"57","belgium","antwerp","2020-06-22",1666809,"Historisch Centrum",51.22487,4.40336,"Condominium","Entire home/apt",4,2,2,"$100.00",2,1125,5,75,1875
"58","belgium","antwerp","2020-06-22",1708652,"Zurenborg",51.20828,4.42645,"Apartment","Entire home/apt",2,1,1,"$70.00",2,1125,30,NA,0
"59","belgium","antwerp","2020-06-22",1785355,"Stuivenberg",51.22266,4.43502,"Apartment","Private room",2,1,1,"$36.00",1,1125,30,NA,0
"60","belgium","antwerp","2020-06-22",1791465,"Borgerhout Intra Muros Noord",51.21406,4.43907,"Apartment","Entire home/apt",4,2,3,"$38.00",3,366,4,52.5769230769231,1367
"61","belgium","antwerp","2020-06-22",1808782,"Sint-Andries",51.21232,4.39571,"Loft","Entire home/apt",2,1,1,"$110.00",2,60,14,111.5625,1785
"62","belgium","antwerp","2020-06-22",1986344,"Zuid",51.21094,4.39756,"Loft","Entire home/apt",4,1,2,"$104.00",4,1125,9,105,2205
"63","belgium","antwerp","2020-06-22",2059299,"Haringrode",51.20202,4.41754,"Townhouse","Private room",2,1,1,"$22.00",2,366,25,23,115
"64","belgium","antwerp","2020-06-22",2059774,"Oud - Berchem",51.19714,4.41722,"Apartment","Entire home/apt",3,1,2,"$85.00",6,1125,27,85,255
"65","belgium","antwerp","2020-06-22",2069688,"Historisch Centrum",51.22642,4.401,"Apartment","Entire home/apt",2,0,1,"$60.00",1,1125,30,NA,0
"66","belgium","antwerp","2020-06-22",2073182,"Stadspark",51.20612,4.41758,"Apartment","Entire home/apt",2,1,2,"$23.00",800,1125,29,23,23
"67","belgium","antwerp","2020-06-22",2086302,"Groenenhoek",51.1958,4.4392,"Apartment","Entire home/apt",2,1,1,"$45.00",30,1125,0,45,1350
"68","belgium","antwerp","2020-06-22",2133274,"Oosterveld - Elsdonk",51.17635,4.42433,"Bed and breakfast","Private room",2,1,1,"$75.00",1,1125,30,NA,0
"69","belgium","antwerp","2020-06-22",2154692,"Stuivenberg",51.22725,4.43552,"Townhouse","Entire home/apt",3,1,2,"$49.00",2,1125,0,59,1770
"70","belgium","antwerp","2020-06-22",2194840,"Universiteitsbuurt",51.2234,4.41389,"Apartment","Entire home/apt",4,1,2,"$36.00",1,1125,0,41.9,1257
"71","belgium","antwerp","2020-06-22",2230592,"Deurne Noord",51.22979,4.44464,"Loft","Private room",2,1,1,"$50.00",1,1125,30,NA,0
"72","belgium","antwerp","2020-06-22",2347414,"Borgerhout Intra Muros Noord",51.21711,4.44417,"Bed and breakfast","Private room",2,1,1,"$85.00",2,4,0,85,2550
"73","belgium","antwerp","2020-06-22",2427717,"Theaterbuurt-Meir",51.21659,4.4073,"Apartment","Entire home/apt",4,1,2,"$110.00",1,1125,29,110,110
"74","belgium","antwerp","2020-06-22",2433570,"Stuivenberg",51.22154,4.4383,"Apartment","Private room",2,1,1,"$49.00",2,31,17,49,637
"75","belgium","antwerp","2020-06-22",2436964,"Historisch Centrum",51.22257,4.40394,"Loft","Entire home/apt",2,1,1,"$105.00",2,60,22,110,880
"76","belgium","antwerp","2020-06-22",2448815,"Sint-Andries",51.21699,4.40014,"Bed and breakfast","Private room",2,1,1,"$165.00",1,1125,30,NA,0
"77","belgium","antwerp","2020-06-22",2507353,"Stuivenberg",51.22092,4.42942,"Townhouse","Private room",1,1,1,"$45.00",60,1125,0,45.5333333333333,1366
"78","belgium","antwerp","2020-06-22",2522970,"Theaterbuurt-Meir",51.21861,4.40964,"Apartment","Entire home/apt",4,2,2,"$98.00",1,1125,2,73.7857142857143,2066
"79","belgium","antwerp","2020-06-22",2543695,"Sint-Andries",51.21762,4.39954,"Apartment","Entire home/apt",4,2,2,"$180.00",2,366,30,NA,0
"80","belgium","antwerp","2020-06-22",2602613,"Borgerhout Intra Muros Noord",51.21611,4.43234,"House","Entire home/apt",2,1,1,"$65.00",2,1125,30,NA,0
"81","belgium","antwerp","2020-06-22",2664034,"Historisch Centrum",51.22352,4.40571,"Apartment","Entire home/apt",2,1,1,"$65.00",3,1125,0,67.6666666666667,2030
"82","belgium","antwerp","2020-06-22",2682144,"Zurenborg",51.20923,4.42563,"Loft","Entire home/apt",2,1,1,"$60.00",6,1125,0,70,2100
"83","belgium","antwerp","2020-06-22",2682808,"Oud - Berchem",51.1976,4.42955,"Townhouse","Private room",2,1,1,"$35.00",1,1125,26,34.75,139
"84","belgium","antwerp","2020-06-22",2762341,"Amandus - Atheneum",51.22222,4.41709,"Apartment","Entire home/apt",2,0,1,"$59.00",4,1125,0,60.3333333333333,1810
"85","belgium","antwerp","2020-06-22",2819412,"Borgerhout Intra Muros Zuid",51.20914,4.43539,"House","Shared room",8,1,2,"$36.00",1,1125,28,38,76
"86","belgium","antwerp","2020-06-22",2819790,"Oud - Berchem",51.20056,4.43333,"Bed and breakfast","Private room",16,4,37,"$450.00",1,1125,30,NA,0
"87","belgium","antwerp","2020-06-22",2820108,"Oud - Berchem",51.20179,4.43163,"House","Shared room",16,1,28,"$44.00",1,1125,30,NA,0
"88","belgium","antwerp","2020-06-22",2843276,"Oud - Berchem",51.20143,4.43312,"Hostel","Shared room",16,1,16,"$48.00",1,1125,30,NA,0
"89","belgium","antwerp","2020-06-22",2918528,"Oud - Berchem",51.20031,4.43252,"House","Shared room",16,1,18,"$18.00",1,1125,30,NA,0
"90","belgium","antwerp","2020-06-22",2957381,"Historisch Centrum",51.22318,4.40447,"Apartment","Entire home/apt",4,1,2,"$65.00",2,1125,0,67.6666666666667,2030
"91","belgium","antwerp","2020-06-22",3025379,"Borgerhout Intra Muros Zuid",51.21066,4.42863,"Townhouse","Entire home/apt",6,3,6,"$140.00",2,1125,0,140,4200
"92","belgium","antwerp","2020-06-22",3048594,"Borgerhout Intra Muros Noord",51.21571,4.43311,"Loft","Entire home/apt",8,4,7,"$335.00",2,1125,7,330.652173913043,7605
"93","belgium","antwerp","2020-06-22",3065963,"Historisch Centrum",51.22493,4.40372,"Apartment","Entire home/apt",2,1,1,"$59.00",1,30,0,61.6666666666667,1850
"94","belgium","antwerp","2020-06-22",3197919,"Harmonie",51.20688,4.40645,"House","Entire home/apt",7,3,4,"$230.00",3,25,0,230,6900
"95","belgium","antwerp","2020-06-22",3202647,"Stadspark",51.21757,4.41641,"Apartment","Entire home/apt",2,1,1,"$72.00",7,300,25,72,360
"96","belgium","antwerp","2020-06-22",3203133,"Zurenborg",51.20658,4.42614,"Apartment","Entire home/apt",2,1,1,"$70.00",20,1125,0,35,1050
"97","belgium","antwerp","2020-06-22",3207291,"Stadspark",51.2068,4.41853,"Apartment","Entire home/apt",4,1,1,"$87.00",3,1125,0,89.1333333333333,2674
"98","belgium","antwerp","2020-06-22",3218767,"Borgerhout Intra Muros Noord",51.21803,4.43461,"Apartment","Private room",3,1,0,"$59.00",1,30,30,NA,0
"99","belgium","antwerp","2020-06-22",3268690,"Zuid",51.20495,4.38977,"Apartment","Entire home/apt",4,2,2,"$109.00",2,1125,0,117.266666666667,3518
"100","belgium","antwerp","2020-06-22",3426775,"Oud - Berchem",51.19816,4.41898,"House","Entire home/apt",8,3,3,"$110.00",2,1125,19,100,1100
"101","belgium","antwerp","2020-06-22",3467654,"Harmonie",51.20605,4.40858,"Apartment","Entire home/apt",2,1,1,"$55.00",3,1125,21,55,495
"102","belgium","antwerp","2020-06-22",3518676,"Historisch Centrum",51.22392,4.40238,"Apartment","Entire home/apt",5,2,3,"$95.00",2,30,30,NA,0
"103","belgium","antwerp","2020-06-22",3540493,"Amandus - Atheneum",51.21898,4.42506,"Apartment","Entire home/apt",3,0,2,"$51.00",2,1125,26,49,196
"104","belgium","antwerp","2020-06-22",3609370,"Zuid",51.21253,4.39235,"Apartment","Private room",2,1,1,"$49.00",2,1125,0,49,1470
"105","belgium","antwerp","2020-06-22",3711139,"Borgerhout Intra Muros Noord",51.21756,4.44284,"Apartment","Entire home/apt",2,1,1,"$40.00",1,1125,0,40,1200
"106","belgium","antwerp","2020-06-22",3806718,"Stadspark",51.20618,4.41572,"Apartment","Entire home/apt",2,2,1,"$110.00",2,1125,0,110,3300
"107","belgium","antwerp","2020-06-22",3857702,"Universiteitsbuurt",51.2223,4.40746,"Apartment","Entire home/apt",4,2,2,"$180.00",2,1125,0,180,5400
"108","belgium","antwerp","2020-06-22",3889129,"Oud - Berchem",51.19916,4.41589,"Apartment","Private room",1,1,1,"$50.00",1,1125,0,50,1500
"109","belgium","antwerp","2020-06-22",3894091,"Borgerhout Intra Muros Zuid",51.21154,4.43096,"Apartment","Entire home/apt",2,1,1,"$65.00",3,1125,0,65,1950
"110","belgium","antwerp","2020-06-22",3969576,"Borgerhout Intra Muros Zuid",51.21183,4.44019,"House","Private room",2,1,2,"$27.00",1,102,30,NA,0
"111","belgium","antwerp","2020-06-22",4017995,"Harmonie",51.20767,4.407,"Bed and breakfast","Private room",2,1,1,"$75.00",1,7,6,75,1800
"112","belgium","antwerp","2020-06-22",4026852,"Hoboken - Centrum",51.17582,4.3474,"Townhouse","Private room",2,1,1,"$55.00",1,1125,28,45,90
"113","belgium","antwerp","2020-06-22",4030176,"Amandus - Atheneum",51.22677,4.41754,"Apartment","Entire home/apt",2,1,1,"$75.00",14,60,26,50,200
"114","belgium","antwerp","2020-06-22",4032738,"Borgerhout Intra Muros Zuid",51.21432,4.4362,"Apartment","Entire home/apt",3,2,2,"$58.00",2,1125,25,58,290
"115","belgium","antwerp","2020-06-22",4064854,"Harmonie",51.20835,4.40671,"Bed and breakfast","Private room",2,1,2,"$75.00",1,7,7,75,1725
"116","belgium","antwerp","2020-06-22",4163391,"Eilandje",51.2332,4.41039,"Loft","Entire home/apt",2,1,1,"$195.00",2,60,27,195,585
"117","belgium","antwerp","2020-06-22",4178600,"Zurenborg",51.20905,4.42731,"House","Private room",2,1,1,"$60.00",1,14,25,60,300
"118","belgium","antwerp","2020-06-22",4265913,"Stuivenberg",51.21906,4.43022,"Townhouse","Entire home/apt",4,2,3,"$180.00",2,1125,15,180,2700
"119","belgium","antwerp","2020-06-22",4303323,"Universiteitsbuurt",51.22239,4.41097,"Townhouse","Entire home/apt",4,2,4,"$135.00",2,1125,26,135,540
"120","belgium","antwerp","2020-06-22",4310567,"Universiteitsbuurt",51.22432,4.41492,"Apartment","Entire home/apt",2,1,1,"$47.00",2,1125,0,48.8666666666667,1466
"121","belgium","antwerp","2020-06-22",4322521,"Zuid",51.20582,4.38771,"Apartment","Entire home/apt",8,2,4,"$99.00",1,60,19,98.3636363636364,1082
"122","belgium","antwerp","2020-06-22",4332020,"Markgrave",51.20096,4.40172,"Apartment","Entire home/apt",3,2,1,"$41.00",2,14,0,50,1500
"123","belgium","antwerp","2020-06-22",4399227,"Stadspark",51.20954,4.41171,"Apartment","Entire home/apt",2,1,1,"$50.00",1,1125,0,46,1380
"124","belgium","antwerp","2020-06-22",4444232,"Historisch Centrum",51.22143,4.40283,"Apartment","Private room",2,1,1,"$40.00",2,14,25,50,250
"125","belgium","antwerp","2020-06-22",4480525,"Eilandje",51.23562,4.41177,"Apartment","Entire home/apt",2,1,1,"$40.00",1,1125,0,40,1200
"126","belgium","antwerp","2020-06-22",4491892,"Harmonie",51.20307,4.40751,"Apartment","Entire home/apt",2,1,1,"$65.00",2,1125,0,65,1950
"127","belgium","antwerp","2020-06-22",4502646,"Sint-Andries",51.21769,4.39833,"Loft","Entire home/apt",4,0,2,"$75.00",1,1125,30,NA,0
"128","belgium","antwerp","2020-06-22",4592434,"Eilandje",51.22946,4.40614,"Apartment","Entire home/apt",4,2,2,"$150.00",2,1125,3,150,4050
"129","belgium","antwerp","2020-06-22",4703827,"Zurenborg",51.20924,4.4251,"Apartment","Private room",3,1,1,"$36.00",1,1125,0,29,870
"130","belgium","antwerp","2020-06-22",4726962,"Universiteitsbuurt",51.21997,4.4079,"House","Private room",2,1,1,"$49.00",3,1125,0,54.3333333333333,1630
"131","belgium","antwerp","2020-06-22",4733497,"Historisch Centrum",51.21785,4.39927,"Cottage","Entire home/apt",6,4,4,"$190.00",2,60,27,190,570
"132","belgium","antwerp","2020-06-22",4808747,"Borgerhout Intra Muros Noord",51.21723,4.44101,"House","Entire home/apt",5,2,3,"$60.00",1,55,0,60,1800
"133","belgium","antwerp","2020-06-22",4852878,"Stadspark",51.20554,4.41755,"Apartment","Entire home/apt",2,1,3,"$25.00",80,1125,29,25,25
"134","belgium","antwerp","2020-06-22",4853047,"Stadspark",51.20282,4.41345,"Apartment","Entire home/apt",2,1,2,"$25.00",80,1125,29,25,25
"135","belgium","antwerp","2020-06-22",4853293,"Stadspark",51.21034,4.41771,"Loft","Private room",2,1,1,"$109.00",2,1125,27,109,327
"136","belgium","antwerp","2020-06-22",4900847,"Borgerhout Intra Muros Noord",51.21794,4.43274,"House","Entire home/apt",5,3,3,"$175.00",2,1125,0,175,5250
"137","belgium","antwerp","2020-06-22",4919286,"Universiteitsbuurt",51.22243,4.41266,"Bed and breakfast","Hotel room",2,1,1,"$65.00",2,1125,19,74,814
"138","belgium","antwerp","2020-06-22",4985922,"Theaterbuurt-Meir",51.21011,4.40581,"Apartment","Entire home/apt",2,0,1,"$75.00",2,30,0,75,2250
"139","belgium","antwerp","2020-06-22",5020599,"Theaterbuurt-Meir",51.21687,4.40709,"Loft","Entire home/apt",2,0,1,"$99.00",7,1125,27,99,297
"140","belgium","antwerp","2020-06-22",5026455,"Historisch Centrum",51.21804,4.39894,"Apartment","Entire home/apt",4,2,2,"$160.00",2,1125,23,198.571428571429,1390
"141","belgium","antwerp","2020-06-22",5027767,"Haringrode",51.20144,4.42245,"Townhouse","Entire home/apt",5,3,5,"$100.00",2,30,0,115,3450
"142","belgium","antwerp","2020-06-22",5040147,"Borgerhout Intra Muros Zuid",51.21161,4.42929,"Apartment","Entire home/apt",4,2,2,"$93.00",2,1125,0,93,2790
"143","belgium","antwerp","2020-06-22",5047962,"Haringrode",51.20355,4.4241,"Loft","Private room",2,1,1,"$60.00",1,120,20,60,600
"144","belgium","antwerp","2020-06-22",5074616,"Eilandje",51.23028,4.41823,"Condominium","Entire home/apt",3,2,2,"$65.00",3,365,0,80.2666666666667,2408
"145","belgium","antwerp","2020-06-22",5087534,"Amandus - Atheneum",51.22948,4.41787,"Apartment","Entire home/apt",2,1,1,"$59.00",1,1125,0,59,1770
"146","belgium","antwerp","2020-06-22",5096851,"Deurne Zuid Oost",51.19984,4.46793,"House","Private room",2,1,1,"$70.00",1,7,23,75,525
"147","belgium","antwerp","2020-06-22",5124747,"Linkeroever",51.22179,4.37971,"Apartment","Entire home/apt",4,2,2,"$35.00",36,1125,13,34,578
"148","belgium","antwerp","2020-06-22",5187760,"Zuid",51.2124,4.39328,"Apartment","Entire home/apt",6,3,4,"$375.00",2,1125,23,275,1925
"149","belgium","antwerp","2020-06-22",5190451,"Borgerhout Intra Muros Zuid",51.21268,4.42912,"Apartment","Entire home/apt",4,2,1,"$150.00",2,30,0,100,3000
"150","belgium","antwerp","2020-06-22",5223125,"Historisch Centrum",51.21835,4.40018,"Apartment","Entire home/apt",5,1,2,"$55.00",1,1125,22,51,408
"151","belgium","antwerp","2020-06-22",5233718,"Theaterbuurt-Meir",51.21655,4.41352,"Apartment","Entire home/apt",2,1,2,"$80.00",3,365,28,95,190
"152","belgium","antwerp","2020-06-22",5317448,"Zurenborg",51.20817,4.43181,"Apartment","Entire home/apt",4,0,1,"$25.00",10,1125,0,25,750
"153","belgium","antwerp","2020-06-22",5345806,"Groenenhoek",51.19766,4.44282,"Apartment","Entire home/apt",4,1,1,"$42.00",3,1125,0,42,1260
"154","belgium","antwerp","2020-06-22",5379855,"Borgerhout Intra Muros Zuid",51.21464,4.43446,"Loft","Entire home/apt",8,4,5,"$180.00",2,1125,26,190,760
"155","belgium","antwerp","2020-06-22",5382509,"Sint-Andries",51.21385,4.40035,"Apartment","Entire home/apt",2,1,1,"$89.00",25,1125,0,89,2670
"156","belgium","antwerp","2020-06-22",5417459,"Hoboken - Centrum",51.17887,4.36301,"House","Entire home/apt",4,2,2,"$50.00",2,50,5,52.8,1320
"157","belgium","antwerp","2020-06-22",5555535,"Eilandje",51.23264,4.4114,"Apartment","Entire home/apt",2,1,1,"$60.00",6,1125,0,68,2040
"158","belgium","antwerp","2020-06-22",5574536,"Historisch Centrum",51.22019,4.4,"Apartment","Entire home/apt",2,1,1,"$85.00",2,1125,28,85,170
"159","belgium","antwerp","2020-06-22",5575185,"Historisch Centrum",51.21873,4.39963,"Apartment","Entire home/apt",5,2,3,"$115.00",2,1125,23,115,805
"160","belgium","antwerp","2020-06-22",5578067,"Universiteitsbuurt",51.22091,4.4164,"House","Shared room",2,1,2,"$85.00",1,1125,0,85,2550
"161","belgium","antwerp","2020-06-22",5629681,"Universiteitsbuurt",51.22156,4.40597,"Condominium","Private room",2,1,1,"$59.00",2,14,0,50,1500
"162","belgium","antwerp","2020-06-22",5646286,"Borgerhout Intra Muros Noord",51.21464,4.43711,"Apartment","Entire home/apt",2,1,1,"$55.00",2,30,0,55,1650
"163","belgium","antwerp","2020-06-22",5664999,"Oud - Berchem",51.19369,4.41979,"Apartment","Entire home/apt",4,2,2,"$60.00",1,1125,0,60,1800
"164","belgium","antwerp","2020-06-22",5695757,"Oud - Berchem",51.19544,4.42131,"Apartment","Entire home/apt",5,1,4,"$73.00",2,1125,28,73,146
"165","belgium","antwerp","2020-06-22",5702020,"Sint-Andries",51.21491,4.39732,"Apartment","Entire home/apt",2,1,0,"$90.00",2,1125,27,90,270
"166","belgium","antwerp","2020-06-22",5741728,"Borgerhout Intra Muros Zuid",51.21484,4.43169,"House","Entire home/apt",2,1,1,"$70.00",1,1125,29,70,70
"167","belgium","antwerp","2020-06-22",5789730,"Deurne Zuid Oost",51.19612,4.46167,"Apartment","Entire home/apt",3,1,3,"$79.00",1,1125,16,79,1106
"168","belgium","antwerp","2020-06-22",5869273,"Zuid",51.20872,4.39228,"Apartment","Entire home/apt",4,2,2,"$80.00",3,8,6,80,1920
"169","belgium","antwerp","2020-06-22",5914975,"Eilandje",51.23206,4.41274,"Apartment","Entire home/apt",2,1,1,"$90.00",3,1125,0,90,2700
"170","belgium","antwerp","2020-06-22",5922786,"Theaterbuurt-Meir",51.21902,4.40909,"Serviced apartment","Entire home/apt",6,2,2,"$99.00",1,999,9,71.3333333333333,1498
"171","belgium","antwerp","2020-06-22",5923185,"Stuivenberg",51.21985,4.43493,"House","Private room",2,1,2,"$75.00",2,1125,30,NA,0
"172","belgium","antwerp","2020-06-22",5923210,"Theaterbuurt-Meir",51.21857,4.40898,"Serviced apartment","Entire home/apt",6,2,2,"$99.00",1,999,10,70.25,1405
"173","belgium","antwerp","2020-06-22",5923754,"Theaterbuurt-Meir",51.21837,4.40868,"Serviced apartment","Entire home/apt",4,1,1,"$64.00",1,999,16,52.8571428571429,740
"174","belgium","antwerp","2020-06-22",5940310,"Kiel",51.18236,4.38937,"Apartment","Entire home/apt",4,1,1,"$75.00",1,1125,24,75,450
