"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","belgium","antwerp","2020-02-27",50904,"Historisch Centrum",51.21858,4.3985,"Boutique hotel","Hotel room",2,1,1,"$145.00",1,60,23,149.285714285714,1045
"2","belgium","antwerp","2020-02-27",116134,"Eilandje",51.23051,4.40593,"Apartment","Entire home/apt",4,2,2,"$150.00",2,30,16,150,2100
"3","belgium","antwerp","2020-02-27",224333,"Deurne Zuid West",51.19772,4.45853,"House","Private room",2,1,1,"$16.00",14,365,0,16,480
"4","belgium","antwerp","2020-02-27",224682,"Sint-Andries",51.21722,4.3979,"Apartment","Entire home/apt",3,1,2,"$105.00",2,30,22,104.375,835
"5","belgium","antwerp","2020-02-27",345959,"Markgrave",51.19935,4.40154,"Apartment","Entire home/apt",3,2,2,"$45.00",3,90,9,55.6190476190476,1168
"6","belgium","antwerp","2020-02-27",366252,"Borgerhout Intra Muros Noord",51.21601,4.43432,"Apartment","Private room",2,1,1,"$31.00",1,365,28,36.5,73
"7","belgium","antwerp","2020-02-27",366325,"Borgerhout Intra Muros Zuid",51.21398,4.4328,"Apartment","Private room",2,1,1,"$30.00",2,365,24,30.1666666666667,181
"8","belgium","antwerp","2020-02-27",445201,"Borgerhout Intra Muros Noord",51.21579,4.43265,"Apartment","Private room",1,2,0,"$30.00",5,365,11,22.2105263157895,422
"9","belgium","antwerp","2020-02-27",465282,"Harmonie",51.2014,4.40649,"Apartment","Entire home/apt",1,1,1,"$48.00",2,1125,0,40,1200
"10","belgium","antwerp","2020-02-27",522693,"Historisch Centrum",51.22001,4.39813,"Apartment","Entire home/apt",4,1,2,"$195.00",2,21,30,NA,0
"11","belgium","antwerp","2020-02-27",553618,"Eilandje",51.23183,4.40478,"Loft","Entire home/apt",2,1,1,"$150.00",2,1125,27,150,450
"12","belgium","antwerp","2020-02-27",569956,"Historisch Centrum",51.22397,4.40464,"Apartment","Entire home/apt",2,1,1,"$60.00",2,31,0,30.4333333333333,913
"13","belgium","antwerp","2020-02-27",573641,"Hoogte",51.18187,4.39381,"Apartment","Entire home/apt",2,1,0,"$98.00",3,90,17,98,1274
"14","belgium","antwerp","2020-02-27",575935,"Hoogte",51.18152,4.39463,"Apartment","Private room",4,2,2,"$60.00",2,200,23,60,420
"15","belgium","antwerp","2020-02-27",603545,"Harmonie",51.20753,4.40589,"Loft","Entire home/apt",2,1,1,"$150.00",2,365,9,150,3150
"16","belgium","antwerp","2020-02-27",636664,"Borgerhout Intra Muros Zuid",51.21618,4.43037,"Apartment","Entire home/apt",5,2,3,"$85.00",2,365,0,85,2550
"17","belgium","antwerp","2020-02-27",639013,"Borgerhout Intra Muros Noord",51.21748,4.4456,"Townhouse","Private room",2,1,1,"$85.00",2,4,0,85,2550
"18","belgium","antwerp","2020-02-27",685049,"Oud - Berchem",51.19589,4.41443,"House","Private room",3,1,1,"$65.00",2,21,24,65,390
"19","belgium","antwerp","2020-02-27",685053,"Oud - Berchem",51.19482,4.41339,"House","Private room",3,1,2,"$120.00",2,1125,0,120,3600
"20","belgium","antwerp","2020-02-27",723033,"Stadspark",51.20955,4.41481,"Apartment","Entire home/apt",6,1,6,"$60.00",2,30,24,70,420
"21","belgium","antwerp","2020-02-27",746729,"Markgrave",51.19536,4.40806,"House","Private room",4,2,3,"$75.00",1,5,28,75,150
"22","belgium","antwerp","2020-02-27",772842,"Linkeroever",51.21775,4.38434,"Loft","Entire home/apt",2,1,1,"$75.00",7,1125,0,55,1650
"23","belgium","antwerp","2020-02-27",778043,"Stadspark",51.20399,4.41249,"Apartment","Entire home/apt",2,1,1,"$75.00",2,21,5,65.6,1640
"24","belgium","antwerp","2020-02-27",789555,"Centraal Station",51.2117,4.42665,"Apartment","Entire home/apt",4,1,1,"$93.00",2,1125,24,93,558
"25","belgium","antwerp","2020-02-27",813969,"Zuid",51.21264,4.39098,"Apartment","Entire home/apt",6,2,3,"$177.00",1,365,16,201,2814
"26","belgium","antwerp","2020-02-27",842077,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,1,4,"$40.00",1,365,27,40,120
"27","belgium","antwerp","2020-02-27",866701,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,1,4,"$40.00",1,365,27,40,120
"28","belgium","antwerp","2020-02-27",891355,"Universiteitsbuurt",51.22043,4.40562,"Townhouse","Private room",2,1,1,"$85.00",1,14,0,85,2550
"29","belgium","antwerp","2020-02-27",891884,"Historisch Centrum",51.21874,4.39835,"Boutique hotel","Hotel room",2,1,1,"$150.00",1,1125,24,152.5,915
"30","belgium","antwerp","2020-02-27",891907,"Historisch Centrum",51.21825,4.39901,"Apartment","Entire home/apt",4,2,2,"$180.00",2,366,23,182.857142857143,1280
